Date,Download,Upload
Sat 12 Dec 00:30:01 IST 2020,49.77,24.57
Sat 12 Dec 01:00:01 IST 2020,49.35,26.57
Sat 12 Dec 01:30:01 IST 2020,59.43,25.24
Sat 12 Dec 02:00:01 IST 2020,51.58,28.26
Sat 12 Dec 02:30:01 IST 2020,69.02,25.92
Sat 12 Dec 03:00:01 IST 2020,59.25,26.74
Sat 12 Dec 03:30:01 IST 2020,48.3,27.17
Sat 12 Dec 04:00:02 IST 2020,55.41,34.63
Sat 12 Dec 04:30:01 IST 2020,17.95,36.47
Sat 12 Dec 05:00:01 IST 2020,57.25,25.93
Sat 12 Dec 05:30:01 IST 2020,60.34,28.69
Sat 12 Dec 06:00:01 IST 2020,59.69,31.31
Sat 12 Dec 06:30:01 IST 2020,52.95,31.71
Sat 12 Dec 07:00:01 IST 2020,50.99,29.65
Sat 12 Dec 07:30:01 IST 2020,49.09,27.76
Sat 12 Dec 08:00:01 IST 2020,37.73,35.61
Sat 12 Dec 08:30:01 IST 2020,30.17,33.87
Sat 12 Dec 09:00:02 IST 2020,57.2,29.64
Sat 12 Dec 09:30:01 IST 2020,81.2,27.83
Sat 12 Dec 10:00:01 IST 2020,56.25,18.4
Sat 12 Dec 10:30:01 IST 2020,53.68,27.27
Sat 12 Dec 11:00:01 IST 2020,42.43,19.52
Sat 12 Dec 11:30:01 IST 2020,44.47,23.55
Sat 12 Dec 12:00:01 IST 2020,46.03,25.71
Sat 12 Dec 12:30:01 IST 2020,48.24,22.59
Sat 12 Dec 13:00:01 IST 2020,28.05,21.68
Sat 12 Dec 13:30:01 IST 2020,33.48,19.3
Sat 12 Dec 14:00:01 IST 2020,53.39,22.72
Sat 12 Dec 14:30:01 IST 2020,8.21,30.97
Sat 12 Dec 15:00:01 IST 2020,83.26,32.1
Sat 12 Dec 15:30:01 IST 2020,51.75,30.59
Sat 12 Dec 16:00:01 IST 2020,24.5,33.49
Sat 12 Dec 16:30:01 IST 2020,11.49,31.15
Sat 12 Dec 17:00:01 IST 2020,31.99,34.16
Sat 12 Dec 17:30:01 IST 2020,16.38,33.04
Sat 12 Dec 18:00:01 IST 2020,83.49,35.65
Sat 12 Dec 18:30:01 IST 2020,77.97,22.72
Sat 12 Dec 19:00:01 IST 2020,76.84,24.84
Sat 12 Dec 19:30:01 IST 2020,73.14,24.96
Sat 12 Dec 20:00:01 IST 2020,78.13,27.11
Sat 12 Dec 20:30:01 IST 2020,38.72,24.78
Sat 12 Dec 21:00:01 IST 2020,66.72,24.38
Sat 12 Dec 21:30:01 IST 2020,40.94,20.71
Sat 12 Dec 22:00:01 IST 2020,22.55,14.66
Sat 12 Dec 22:30:01 IST 2020,36.97,23.44
Sat 12 Dec 23:00:01 IST 2020,38.42,23.09
Sat 12 Dec 23:30:02 IST 2020,86.92,33.58
Sun 13 Dec 00:00:01 IST 2020,53.23,23.39
Sun 13 Dec 00:30:02 IST 2020,52.83,25.46
Sun 13 Dec 01:00:01 IST 2020,53.84,26.34
Sun 13 Dec 01:30:02 IST 2020,55.5,26.41
Sun 13 Dec 02:00:01 IST 2020,65.01,28.88
Sun 13 Dec 02:30:01 IST 2020,22.36,34.52
Sun 13 Dec 03:00:01 IST 2020,62.02,33.95
Sun 13 Dec 03:30:01 IST 2020,74.58,28.23
Sun 13 Dec 04:00:01 IST 2020,75.86,28.11
Sun 13 Dec 04:30:02 IST 2020,20.2,36.5
Sun 13 Dec 05:00:01 IST 2020,80.2,36.11
Sun 13 Dec 05:30:01 IST 2020,71.63,31.19
Sun 13 Dec 06:00:02 IST 2020,82.16,29.08
Sun 13 Dec 06:30:01 IST 2020,66.87,29.4
Sun 13 Dec 07:00:01 IST 2020,70.84,30.4
Sun 13 Dec 07:30:01 IST 2020,74.91,29.73
Sun 13 Dec 08:00:01 IST 2020,83.34,34.2
Sun 13 Dec 08:30:01 IST 2020,65.21,27.11
Sun 13 Dec 09:00:02 IST 2020,77.77,21.74
Sun 13 Dec 09:30:01 IST 2020,67.27,29.73
Sun 13 Dec 10:00:01 IST 2020,68.89,26.54
Sun 13 Dec 10:30:01 IST 2020,52.79,27.32
Sun 13 Dec 11:00:01 IST 2020,55.75,29.61
Sun 13 Dec 11:30:01 IST 2020,65.73,28.66
Sun 13 Dec 12:00:01 IST 2020,59.32,27.69
Sun 13 Dec 12:30:02 IST 2020,29.82,0
Sun 13 Dec 13:00:01 IST 2020,82.21,0.13
Sun 13 Dec 13:30:01 IST 2020,50.71,0.23
Sun 13 Dec 14:00:01 IST 2020,52.61,0.26
Sun 13 Dec 14:30:01 IST 2020,9.99,0.13
Sun 13 Dec 15:00:01 IST 2020,79.67,0.13
Sun 13 Dec 15:30:01 IST 2020,85.59,0.21
Sun 13 Dec 16:00:01 IST 2020,10.11,0.07
Sun 13 Dec 16:30:01 IST 2020,10.73,0.28
Sun 13 Dec 17:00:01 IST 2020,41.2,0.4
Sun 13 Dec 17:30:02 IST 2020,61.29,29.9
Sun 13 Dec 18:00:01 IST 2020,61.06,22
Sun 13 Dec 18:30:01 IST 2020,61.84,25.5
Sun 13 Dec 19:00:01 IST 2020,56.83,24.75
Sun 13 Dec 19:30:01 IST 2020,84.97,32.77
Sun 13 Dec 20:00:01 IST 2020,84.94,36.4
Sun 13 Dec 20:30:01 IST 2020,40.85,29.44
Sun 13 Dec 21:00:01 IST 2020,50.62,28.21
Sun 13 Dec 21:30:01 IST 2020,48.8,24.72
Sun 13 Dec 22:00:01 IST 2020,24.01,33.08
Sun 13 Dec 22:30:01 IST 2020,79.74,24.62
Sun 13 Dec 23:00:01 IST 2020,38.09,26.48
